epoch,train_loss,eval_loss,eval_top1
0,5.29610318628947,5.292380753820996,0.9492578529513289
1,5.269205808003743,5.230733982069063,0.9837763203313773
2,5.212362139383952,5.146014782244229,1.3634794615119088
3,5.1571270434061685,5.0764659136626324,1.794960303762513
4,5.14907212193807,5.077011390682085,1.587849499482223
5,5.113248804092407,5.023883518203193,2.0883672764929235
6,5.101359570821126,5.091227298034731,1.8467380048325854
7,5.071898022969564,5.074436353164004,2.019330341732827
8,5.053690364201864,4.982499892603829,2.623403520883673
9,5.041672149658203,5.024663130826361,2.399033482913359
10,5.039705104827881,4.921586198480861,3.1584397652744216
11,5.012383113861084,5.040635683884652,2.519848118743528
12,4.996017028172811,4.956938582286368,2.882292026234035
13,4.955927611033122,4.978265846273509,2.7959958577839146
14,4.958300148646037,4.875379817996882,3.40006903693476
15,4.958506928126018,4.979260305392153,2.744218156713842
16,4.9085729173024495,4.975049040586652,2.865032792544011
17,4.891137082417806,4.861702528911745,3.7625129444252674
18,4.890703430493673,4.869290321170358,3.727994477045219
19,4.865178935050964,4.827240561797037,3.917846047635485
20,4.8550914913813275,4.7280090596703035,4.780807732136693
21,4.847604437192281,4.779817271323133,3.6589575422851226
22,4.837994298617045,4.769036914629899,4.297549188816016
23,4.829989416122436,4.84711508303212,3.6762167759751465
24,4.801936740875244,4.7407827118902235,4.418363824646185
25,4.786912850697835,4.6638276816484305,4.763548498446669
26,4.788275745391846,4.822984425084197,4.452882292026234
27,4.7571256691614785,4.625719849800792,5.609250949257853
28,4.719235870361328,4.708154114518118,4.521919226786331
29,4.736102778434754,4.58568475326259,5.419399378667587
30,4.720894577980041,4.696286452898783,5.074214704867104
31,4.718348110834757,4.6333860848992705,5.747324818778046
32,4.686270785013835,4.60330947662659,5.47117707973766
33,4.689573055267334,4.5784089062433635,5.505695547117708
34,4.664656949679057,4.668721230720544,5.937176389368312
35,4.666341135025024,4.6664710716416105,6.006213324128408
36,4.657279985745748,4.534720813730153,6.299620296858819
37,4.648274091084798,4.540878181256711,5.781843286158095
38,4.61579364935557,4.503823089484391,6.075250258888506
39,4.637658031463623,4.480179028137412,5.868139454608215
40,4.604889696439107,4.411856237180405,7.145322747670003
41,4.598925148963928,4.361426873086937,8.077321366931308
42,4.585519072532654,4.396391293572112,8.405246807041767
43,4.5809607369105025,4.444558673699971,7.680358992060753
44,4.547516976038615,4.501775733841095,6.817397307559545
45,4.564220419565837,4.4421091515893645,6.713841905419399
46,4.5364333403905235,4.419699164806335,7.041767345529858
47,4.544206844647725,4.390085048580071,7.956506731101139
48,4.510105383872986,4.539411535664678,7.179841215050052
49,4.499133948008219,4.3498383267896115,8.025543665861235
50,4.5109853239059445,4.390673343502409,8.025543665861235
51,4.495256852785746,4.4509800132241875,7.939247497411115
52,4.505015838623047,4.423679703550171,8.12909906800138
53,4.483184964815775,4.356034062918524,8.232654470141526
54,4.472100385030111,4.325566556727758,8.439765274421816
55,4.466546348889668,4.238875301451283,9.319986192613047
56,4.445878238677978,4.25722120916757,9.130134622022782
57,4.440912114461263,4.293564386436929,8.595098377632032
58,4.428249246915182,4.336187344194899,8.940283051432516
59,4.403329959233602,4.282235815107802,9.699689333793579
60,4.428980139414469,4.242150867071734,10.165688643424232
61,4.406893465042114,4.200080844176651,9.751467034863651
62,4.410873238245646,4.275317525633212,9.682430100103556
63,4.3795560983022055,4.235547942542437,9.026579219882636
64,4.360155906041463,4.150411201585026,10.459095616154643
65,4.416132438341776,4.249490781780107,9.855022437003797
66,4.370441872914633,4.207654814083164,10.40731791508457
67,4.358857469558716,4.253035867053721,9.45806006213324
68,4.355080021222433,4.2777540724895555,10.062133241284087
69,4.330841726303101,4.171376872070913,10.251984811874353
70,4.351594168980917,4.1774408989294995,10.148429409734208
71,4.3386055892308555,4.233780338305788,10.096651708664135
72,4.291809167544047,4.078928107469708,11.511908871246117
73,4.323789935112,4.0912049879153765,10.994131860545393
74,4.296103931744893,4.089519659156918,11.166724197445633
75,4.313566985448202,4.326521759943424,9.596133931653435
76,4.27595604133606,4.054845710190815,11.753538142906455
77,4.237877649625142,4.153216571078697,9.941318605453917
78,4.248962606430053,4.137911378370304,11.132205730065586
79,4.249953557650248,4.093490758969284,11.149464963755609
80,4.248590583165487,4.105425004717149,12.115982050396962
81,4.218733379364013,4.053727089803219,11.667241974456335
82,4.246335748990377,4.063161418855211,10.976872626855368
83,4.206117583910625,3.994316577911377,12.374870555747325
84,4.188017910321554,4.046205902000851,12.374870555747325
85,4.177521800041199,4.09221141730089,12.06420434932689
86,4.212185105641683,4.022816414540086,13.324128408698654
87,4.18327820110321,4.068998517683962,11.719019675526406
88,4.2114384009043375,4.065227853786875,11.11494649637556
89,4.182052223523458,3.9280132954804534,13.220573006558508
90,4.167447648048401,4.053319125698894,11.943389713496721
91,4.143687204678853,3.943361288232971,13.755609250949258
92,4.1364129501978555,3.949247845996031,13.375906109768726
93,4.157043688456217,4.121548457869094,12.27131515360718
94,4.1727993135452275,4.042048116326126,11.460131170176044
95,4.151588226954142,3.881759717211791,13.841905419399378
96,4.117766702969869,4.10403008966311,11.045909561615463
97,4.12822802066803,3.928994073224224,14.152571625819814
98,4.088562892913818,3.909011885199746,14.445978598550225
99,4.120460753758748,3.82455103628628,14.584052468070418
100,4.078258201917013,3.938320063540637,13.134276838108388
101,4.105581133524577,3.9611061108618473,13.117017604418363
102,4.081460563659668,3.7631144137846673,15.774939592682085
103,4.06711353524526,3.882235213728415,14.359682430100104
104,4.038934645652771,3.7845409462523536,15.291681049361408
105,4.047547716458639,3.96352017359936,12.323092854677252
